广东梵大集团有限公司,广州,10k-15k,大专
晟至技术有限公司,北京市,10k-15k,大专
深圳有咖互动科技有限公司,北京,12k-20k,本科
浙江大华技术股份有限公司,杭州,15k-25k,本科
上海大岂网络科技有限公司,上海,12k-20k,本科
北京瑞友科技股份有限公司,上海,15k-23k,本科
深圳微众信用科技股份有限公司,深圳,10k-15k,本科
深圳市法本信息技术股份有限公司,北京,13k-20k,大专
广州图匠数据科技有限公司,广州,10k-15k,本科
埃森哲（中国）有限公司,杭州,10k-20k,本科
深圳无境创新科技有限公司,广州,15k-18k,本科
深圳无境创新科技有限公司,深圳,15k-18k,本科
公司名称,城市,薪资,学历
上海智龙企业管理有限公司,上海,10k-18k,大专
广州参数信息科技有限公司,广州,8k-11k,本科
广州图匠数据科技有限公司,广州,10k-15k,本科
百度时代网络技术(北京)有限公司,北京,13k-26k,本科
互动峰科技（北京）有限公司,北京,15k-30k,本科
北京世纪好未来教育科技有限公司,北京,13k-20k,本科
上海哔哩哔哩科技有限公司,上海,15k-30k,本科
北京马赫谷科技有限公司,北京,10k-15k,本科
杭州数式网络科技有限公司,杭州,10k-12k,本科
昆仑智汇数据科技（北京）有限公司,北京,15k-25k,本科
昆仑智汇数据科技（北京）有限公司,北京,15k-25k,本科
慧科讯业（北京）网络科技有限公司,深圳,10k-20k,本科
深圳聿旌科技有限公司,深圳,15k-20k,本科
深圳市大头兄弟科技有限公司,深圳,14k-20k,本科
广东快乐种子科技有限公司,广州,10k-15k,本科
公司名称,城市,薪资,学历
北京字节跳动科技有限公司,北京,25k-45k,本科
新东方教育科技集团,北京,15k-25k,本科
成都奇鲁科技有限公司,成都,8k-16k,本科
杭州艾耕科技有限公司,杭州,15k-30k,本科
杭州有赞科技有限公司,杭州,20k-40k,本科
杭州数式网络科技有限公司,杭州,10k-12k,本科
北京艾科创意信息技术有限公司,深圳,8k-15k,本科
杭州银勤科技有限公司,杭州,8k-16k,本科
爱问医联科技（深圳）有限公司,深圳,10k-16k,本科
厦门科拓通讯技术股份有限公司,成都,8k-12k,本科
宁波中茂网络科技有限公司杭州分公司,杭州,6k-10k,本科
广州趣米网络科技有限公司,广州,5k-8k,大专
上海智龙企业管理有限公司,上海,10k-18k,大专
北京合力亿捷科技股份有限公司,北京,4k-6k,本科
重庆渝欧跨境电子商务股份有限公司,郑州,8k-15k,不限
公司名称,城市,薪资,学历
北京印象笔记科技有限公司,北京,18k-25k,本科
广州市数商云网络科技有限公司,广州,10k-15k,大专
广东快乐种子科技有限公司,广州,10k-15k,本科
维恩贝特科技有限公司,深圳,10k-15k,本科
数睿科技（深圳）有限公司,深圳,10k-16k,本科
广州参数信息科技有限公司,广州,8k-11k,本科
海南数字共识网络科技有限公司,深圳,8k-16k,本科
北京多贝兄弟信息技术有限公司,北京,10k-20k,本科
新原子（深圳）科技有限公司,深圳,6k-8k,本科
深圳市乐易网络股份有限公司,深圳,8k-12k,本科
千音网络科技（广州）有限公司,广州,8k-12k,大专
广州数说故事信息科技有限公司,广州,10k-13k,本科
北京嘀嘀无限科技发展有限公司,北京,20k-40k,本科
蓝信移动（北京）科技有限公司,北京,10k-16k,本科
深圳市众云网有限公司,深圳,6k-12k,不限
公司名称,城市,薪资,学历
北京天天乐学教育科技有限公司,北京,10k-15k,本科
深圳市智象科技有限公司,深圳,10k-15k,本科
上海游盾网络科技有限公司,上海,9k-14k,本科
恒拓开源信息科技股份有限公司广州分公司,广州,7k-8k,大专
上海翌擎智能科技有限公司,成都,8k-12k,本科
中企云链（北京）金融信息服务有限公司,北京,12k-20k,本科
深圳市有芯电子有限公司,深圳,10k-16k,本科
京东数字科技控股有限公司,上海,25k-50k,本科
生命奇点（北京）科技有限公司,北京,10k-20k,本科
北京嘀嘀无限科技发展有限公司,北京,30k-45k,本科
广州赞赏信息科技有限公司,广州,6k-10k,本科
数说新奇信息技术（上海）有限公司,上海,8k-10k,本科
上海海鼎信息工程股份有限公司,上海,10k-15k,本科
深圳市友点科技有限公司,深圳,6k-12k,本科
上海商涌科技有限公司,上海,8k-13k,本科
公司名称,城市,薪资,学历
深圳市友点科技有限公司,深圳,6k-12k,本科
上海商涌科技有限公司,上海,8k-13k,本科
海南数字共识网络科技有限公司,深圳,8k-16k,本科
深圳视界信息技术有限公司,深圳,8k-15k,本科
瑞庭网络技术（上海）有限公司,北京,20k-40k,本科
贝壳找房（北京）科技有限公司,北京,20k-35k,本科
